ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.21,192.168.4.133,1068,56668,1024,0x0002
192.168.4.75,192.168.4.133,2008,56668,1024,0x0002
192.168.4.77,192.168.4.133,7920,56668,1024,0x0002
192.168.4.113,192.168.4.133,6789,56668,1024,0x0002
192.168.4.20,192.168.4.133,5987,56668,1024,0x0002
192.168.4.21,192.168.4.133,146,56668,1024,0x0002
192.168.4.75,192.168.4.133,3800,56668,1024,0x0002
192.168.4.77,192.168.4.133,10566,56668,1024,0x0002
192.168.4.113,192.168.4.133,7004,56668,1024,0x0002
192.168.4.20,192.168.4.133,30718,56668,1024,0x0002
192.168.4.21,192.168.4.133,1145,56668,1024,0x0002
192.168.4.75,192.168.4.133,32775,56668,1024,0x0002
192.168.4.77,192.168.4.133,7019,56668,1024,0x0002
192.168.4.113,192.168.4.133,8290,56668,1024,0x0002
192.168.4.20,192.168.4.133,1718,56668,1024,0x0002
192.168.4.133,192.168.4.77,56668,3269,0,0x0014
192.168.4.133,192.168.4.77,56668,1010,0,0x0014
192.168.4.133,192.168.4.77,56668,7025,0,0x0014
192.168.4.133,192.168.4.77,56668,6699,0,0x0014
192.168.4.133,192.168.4.77,56668,18040,0,0x0014
192.168.4.133,192.168.4.113,56668,9535,0,0x0014
192.168.4.133,192.168.4.77,56668,33354,0,0x0014
192.168.4.133,192.168.4.77,56668,27715,0,0x0014
192.168.4.133,192.168.4.113,56668,5033,0,0x0014
192.168.4.133,192.168.4.113,56668,1718,0,0x0014
192.168.4.133,192.168.4.113,56668,5987,0,0x0014
192.168.4.133,192.168.4.113,56668,1068,0,0x0014
192.168.4.133,192.168.4.113,56668,1145,0,0x0014
192.168.4.133,192.168.4.113,56668,146,0,0x0014
192.168.4.133,192.168.4.77,56668,22939,0,0x0014
192.168.4.133,192.168.4.75,56668,1216,0,0x0014
192.168.4.133,192.168.4.77,56668,2222,0,0x0014
192.168.4.133,192.168.4.77,56668,4,0,0x0014
192.168.4.133,192.168.4.75,56668,7938,0,0x0014
192.168.4.133,192.168.4.75,56668,32782,0,0x0014
192.168.4.133,192.168.4.113,56668,30718,0,0x0014
192.168.4.133,192.168.4.113,56668,1073,0,0x0014
192.168.4.133,192.168.4.113,56668,1641,0,0x0014
192.168.4.133,192.168.4.113,56668,8200,0,0x0014
192.168.4.133,192.168.4.113,56668,8290,0,0x0014
192.168.4.133,192.168.4.113,56668,6789,0,0x0014
192.168.4.133,192.168.4.75,56668,27715,0,0x0014
192.168.4.133,192.168.4.75,56668,6668,0,0x0014
192.168.4.133,192.168.4.75,56668,264,0,0x0014
192.168.4.133,192.168.4.75,56668,27356,0,0x0014
192.168.4.133,192.168.4.75,56668,5003,0,0x0014
192.168.4.133,192.168.4.75,56668,631,0,0x0014
192.168.4.133,192.168.4.75,56668,8651,0,0x0014
192.168.4.133,192.168.4.113,56668,12000,0,0x0014
192.168.4.133,192.168.4.113,56668,10004,0,0x0014
192.168.4.133,192.168.4.113,56668,8652,0,0x0014
192.168.4.133,192.168.4.113,56668,1186,0,0x0014
192.168.4.133,192.168.4.113,56668,7004,0,0x0014
192.168.4.75,192.168.4.133,2170,56668,1024,0x0002
192.168.4.77,192.168.4.133,9040,56668,1024,0x0002
192.168.4.113,192.168.4.133,2106,56668,1024,0x0002
192.168.4.20,192.168.4.133,5033,56668,1024,0x0002
192.168.4.21,192.168.4.133,1073,56668,1024,0x0002
192.168.4.75,192.168.4.133,55055,56668,1024,0x0002
192.168.4.77,192.168.4.133,5560,56668,1024,0x0002
192.168.4.113,192.168.4.133,464,56668,1024,0x0002
192.168.4.20,192.168.4.133,1068,56668,1024,0x0002
192.168.4.21,192.168.4.133,1641,56668,1024,0x0002
192.168.4.75,192.168.4.133,3826,56668,1024,0x0002
192.168.4.77,192.168.4.133,64623,56668,1024,0x0002
192.168.4.113,192.168.4.133,32773,56668,1024,0x0002
192.168.4.20,192.168.4.133,146,56668,1024,0x0002
192.168.4.21,192.168.4.133,1186,56668,1024,0x0002
192.168.4.75,192.168.4.133,1455,56668,1024,0x0002
192.168.4.77,192.168.4.133,20221,56668,1024,0x0002
192.168.4.113,192.168.4.133,9917,56668,1024,0x0002
192.168.4.20,192.168.4.133,1145,56668,1024,0x0002
192.168.4.21,192.168.4.133,8652,56668,1024,0x0002
192.168.4.75,192.168.4.133,902,56668,1024,0x0002
192.168.4.77,192.168.4.133,3390,56668,1024,0x0002
192.168.4.113,192.168.4.133,2638,56668,1024,0x0002
