tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,labeled_data
55209,445,0,0x0014,0
55209,554,0,0x0014,0
12345,55209,1024,0x0000,1
301,55209,1024,0x0000,1
406,55209,1024,0x0000,1
1047,55209,1024,0x0000,1
2968,55209,1024,0x0000,1
8300,55209,1024,0x0000,1
9009,55209,1024,0x0000,1
1163,55209,1024,0x0000,1
726,55209,1024,0x0000,1
54045,55209,1024,0x0000,1
55209,2004,0,0x0014,0
55209,8292,0,0x0014,0
55209,1947,0,0x0014,0
55209,25735,0,0x0014,0
55209,1700,0,0x0014,0
55209,1027,0,0x0014,0
55209,1213,0,0x0014,0
55209,10004,0,0x0014,0
55209,8192,0,0x0014,0
55209,55600,0,0x0014,0
55209,2105,0,0x0014,0
55209,20,0,0x0014,0
55209,99,0,0x0014,0
55209,5825,0,0x0014,0
55209,3986,0,0x0014,0
55209,16113,0,0x0014,0
55209,5060,0,0x0014,0
55209,3325,0,0x0014,0
55209,3003,0,0x0014,0
55209,3998,0,0x0014,0
55209,3005,0,0x0014,0
55209,3809,0,0x0014,0
55209,9001,0,0x0014,0
1272,55209,1024,0x0000,1
1334,55209,1024,0x0000,1
3945,55209,1024,0x0000,1
10628,55209,1024,0x0000,1
20031,55209,1024,0x0000,1
9090,55209,1024,0x0000,1
1247,55209,1024,0x0000,1
366,55209,1024,0x0000,1
13456,55209,1024,0x0000,1
3814,55209,1024,0x0000,1
416,55209,1024,0x0000,1
1099,55209,1024,0x0000,1
8222,55209,1024,0x0000,1
6699,55209,1024,0x0000,1
9200,55209,1024,0x0000,1
2196,55209,1024,0x0000,1
1069,55209,1024,0x0000,1
9618,55209,1024,0x0000,1
2040,55209,1024,0x0000,1
1053,55209,1024,0x0000,1
8082,55209,1024,0x0000,1
1259,55209,1024,0x0000,1
1234,55209,1024,0x0000,1
40193,55209,1024,0x0000,1
89,55209,1024,0x0000,1
2035,55209,1024,0x0000,1
20005,55209,1024,0x0000,1
4000,55209,1024,0x0000,1
2366,55209,1024,0x0000,1
8194,55209,1024,0x0000,1
16001,55209,1024,0x0000,1
27352,55209,1024,0x0000,1
1106,55209,1024,0x0000,1
5800,55209,1024,0x0000,1
3800,55209,1024,0x0000,1
5962,55209,1024,0x0000,1
2967,55209,1024,0x0000,1
4446,55209,1024,0x0000,1
8090,55209,1024,0x0000,1
1062,55209,1024,0x0000,1
1864,55209,1024,0x0000,1
10025,55209,1024,0x0000,1
8086,55209,1024,0x0000,1
15004,55209,1024,0x0000,1
1501,55209,1024,0x0000,1
1185,55209,1024,0x0000,1
55209,9009,0,0x0014,0
55209,14441,0,0x0014,0
55209,8300,0,0x0014,0
