ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.133,192.168.4.78,52825,3011,0,0x0014
192.168.4.133,192.168.4.78,52825,1183,0,0x0014
192.168.4.136,192.168.4.133,3517,52827,1024,0x0002
192.168.4.136,192.168.4.133,543,52827,1024,0x0002
192.168.4.77,192.168.4.133,2968,52825,1024,0x0002
192.168.4.78,192.168.4.133,4998,52825,1024,0x0002
192.168.4.106,192.168.4.133,9929,52825,1024,0x0002
192.168.4.136,192.168.4.133,10616,52825,1024,0x0002
192.168.4.21,192.168.4.133,5811,52825,1024,0x0002
192.168.4.77,192.168.4.133,544,52825,1024,0x0002
192.168.4.78,192.168.4.133,6565,52825,1024,0x0002
192.168.4.106,192.168.4.133,1862,52825,1024,0x0002
192.168.4.136,192.168.4.133,1999,52825,1024,0x0002
192.168.4.21,192.168.4.133,9998,52825,1024,0x0002
192.168.4.77,192.168.4.133,3851,52825,1024,0x0002
192.168.4.78,192.168.4.133,5560,52825,1024,0x0002
192.168.4.106,192.168.4.133,8021,52825,1024,0x0002
192.168.4.136,192.168.4.133,541,52825,1024,0x0002
192.168.4.133,192.168.4.21,52825,20000,0,0x0014
192.168.4.133,192.168.4.21,52825,6059,0,0x0014
192.168.4.133,192.168.4.78,52825,4899,0,0x0014
192.168.4.133,192.168.4.106,52825,30,0,0x0014
192.168.4.77,192.168.4.133,8291,52825,1024,0x0002
192.168.4.78,192.168.4.133,1076,52825,1024,0x0002
192.168.4.106,192.168.4.133,5200,52825,1024,0x0002
192.168.4.136,192.168.4.133,515,52825,1024,0x0002
192.168.4.21,192.168.4.133,5544,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,2968,0,0x0014
192.168.4.133,192.168.4.77,52825,544,0,0x0014
192.168.4.136,192.168.4.133,726,52827,1024,0x0002
192.168.4.106,192.168.4.133,6543,52825,1024,0x0002
192.168.4.136,192.168.4.133,1138,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,3851,0,0x0014
192.168.4.133,192.168.4.21,52825,5811,0,0x0014
192.168.4.133,192.168.4.77,52825,8291,0,0x0014
192.168.4.133,192.168.4.21,52825,9998,0,0x0014
192.168.4.133,192.168.4.106,52825,9929,0,0x0014
192.168.4.133,192.168.4.106,52825,8021,0,0x0014
192.168.4.133,192.168.4.106,52825,1862,0,0x0014
192.168.4.133,192.168.4.78,52825,5560,0,0x0014
192.168.4.133,192.168.4.78,52825,6565,0,0x0014
192.168.4.133,192.168.4.78,52825,4998,0,0x0014
192.168.4.133,192.168.4.21,52825,5544,0,0x0014
192.168.4.133,192.168.4.106,52825,6543,0,0x0014
192.168.4.133,192.168.4.106,52825,5200,0,0x0014
192.168.4.133,192.168.4.78,52825,1076,0,0x0014
192.168.4.1,192.168.4.133,1081,52827,1024,0x0002
192.168.4.136,192.168.4.133,12345,52827,1024,0x0002
192.168.4.136,192.168.4.133,13456,52827,1024,0x0002
192.168.4.136,192.168.4.133,9207,52827,1024,0x0002
192.168.4.136,192.168.4.133,50500,52827,1024,0x0002
192.168.4.136,192.168.4.133,6567,52827,1024,0x0002
192.168.4.136,192.168.4.133,5405,52827,1024,0x0002
192.168.4.77,192.168.4.133,6100,52825,1024,0x0002
192.168.4.78,192.168.4.133,1039,52825,1024,0x0002
192.168.4.106,192.168.4.133,27715,52825,1024,0x0002
192.168.4.136,192.168.4.133,2251,52825,1024,0x0002
192.168.4.21,192.168.4.133,8500,52825,1024,0x0002
192.168.4.77,192.168.4.133,1186,52825,1024,0x0002
192.168.4.78,192.168.4.133,9594,52825,1024,0x0002
192.168.4.106,192.168.4.133,311,52825,1024,0x0002
192.168.4.136,192.168.4.133,27352,52825,1024,0x0002
192.168.4.21,192.168.4.133,999,52825,1024,0x0002
192.168.4.77,192.168.4.133,1137,52825,1024,0x0002
192.168.4.78,192.168.4.133,1044,52825,1024,0x0002
192.168.4.106,192.168.4.133,481,52825,1024,0x0002
192.168.4.136,192.168.4.133,5850,52825,1024,0x0002
192.168.4.21,192.168.4.133,3077,52825,1024,0x0002
192.168.4.77,192.168.4.133,8443,52825,1024,0x0002
192.168.4.78,192.168.4.133,616,52825,1024,0x0002
192.168.4.106,192.168.4.133,23502,52825,1024,0x0002
192.168.4.136,192.168.4.133,4126,52825,1024,0x0002
192.168.4.21,192.168.4.133,1091,52825,1024,0x0002
192.168.4.136,192.168.4.133,7201,52827,1024,0x0002
192.168.4.106,192.168.4.133,49156,52825,1024,0x0002
192.168.4.136,192.168.4.133,7937,52825,1024,0x0002
192.168.4.133,192.168.4.1,52827,1081,0,0x0014
192.168.4.133,192.168.4.77,52825,1137,0,0x0014
192.168.4.133,192.168.4.77,52825,6100,0,0x0014
192.168.4.133,192.168.4.77,52825,8443,0,0x0014
192.168.4.133,192.168.4.77,52825,1186,0,0x0014
192.168.4.133,192.168.4.21,52825,999,0,0x0014
192.168.4.133,192.168.4.21,52825,3077,0,0x0014
192.168.4.133,192.168.4.21,52825,1091,0,0x0014
192.168.4.133,192.168.4.21,52825,8500,0,0x0014
192.168.4.133,192.168.4.78,52825,9594,0,0x0014
192.168.4.133,192.168.4.78,52825,616,0,0x0014
192.168.4.133,192.168.4.78,52825,1044,0,0x0014
192.168.4.133,192.168.4.78,52825,1039,0,0x0014
192.168.4.133,192.168.4.106,52825,23502,0,0x0014
192.168.4.133,192.168.4.106,52825,311,0,0x0014
192.168.4.133,192.168.4.106,52825,27715,0,0x0014
192.168.4.133,192.168.4.106,52825,481,0,0x0014
192.168.4.133,192.168.4.106,52825,49156,0,0x0014
192.168.4.136,192.168.4.133,1169,52827,1024,0x0002
192.168.4.136,192.168.4.133,1443,52827,1024,0x0002
192.168.4.136,192.168.4.133,54328,52827,1024,0x0002
192.168.4.136,192.168.4.133,1812,52827,1024,0x0002
192.168.4.77,192.168.4.133,340,52825,1024,0x0002
192.168.4.136,192.168.4.133,100,52827,1024,0x0002
192.168.4.136,192.168.4.133,2100,52827,1024,0x0002
192.168.4.21,192.168.4.133,9944,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,340,0,0x0014
192.168.4.136,192.168.4.133,10566,52827,1024,0x0002
192.168.4.106,192.168.4.133,10025,52825,1024,0x0002
192.168.4.136,192.168.4.133,5800,52827,1024,0x0002
192.168.4.133,192.168.4.21,52825,9944,0,0x0014
